title,description,department_id,number,course_id
The Surprising Science of Happiness,"After a century of studying how to cure mental illness, scientists have started to explore what makes us happy. What have they discovered? In this course, we will critically examine the findings from the new science of happiness, including research in cognitive science, evolutionary biology, psychology, and neuroscience and reveal how this work alters our understanding of what happiness is, the optimal ways to achieve and increase it, the role of circumstance in its occurrence, its effect on our physical health, and its place in human nature. We will consider the notion of a biologically determined &ldquo;hedonic set point,&rdquo; and question whether there are people who &ldquo;have started in life with a bottle or two of champagne inscribed to their credit; whilst others seem to have been born close to the pain threshold,&rdquo; as William James noted over a century ago. We will examine how the brain&rsquo;s reward circuitry generates feelings of pleasure, desire, comfort and craving, and the ways it propels us to achieve biologically significant goals. Among the questions we will consider are: What is happiness for? Can one make oneself happier by conscious effort? What are some of the myths about happiness? Finally, is happiness a worthy goal for one&#39;s life? Highlighting the most rigorous and promising work in this field, we will attempt to construct a &ldquo;happiness toolkit.&rdquo; The course will be didactic, interactive and experiential and provide an introduction to a burgeoning field of scientific inquiry.",56,FRSEMR 24K,1789
Getting to Know Charles Darwin,"Do you think you know who Charles Darwin was?&nbsp; The legend and sober-looking bearded scholar behind the most important paradigm shift in human history?&nbsp; In this seminar, we will read a selection of Darwin&#39;s publications (including parts of Darwin&#39;s seminal work, On the Origin of Species), as well as his private correspondence, paying close attention to the man behind the science as revealed by his writings.&nbsp; We will get to know Charles Darwin&mdash;the avid breeder of pigeons, lover of barnacles, devoted father and husband, gifted correspondent and tactician, and remarkable backyard scientist.&nbsp; In this latter vein, we will reproduce ten of Charles Darwin&#39;s classic Down House experiments that were central to making his case for natural selection and evolution in On the Origin of Species, as well as his many other books on natural history.&nbsp; Field trips to the Arnold Arboretum of Harvard University, the Museum of Comparative Zoology, and a local pigeon fancier will provide the setting for recreating a selection of the myriad observations of organisms and their interactions with the environment and each other that made Darwin the master of minutia and provided the foundation for his grand synthesis of evolutionary pattern and process.&nbsp; Each week, we will also read, react to (through writing), and discuss Darwin&rsquo;s published writings and letters.",56,FRSEMR 24P,1791
"How Did I Get Here? Appreciating ""Normal"" Child Development","Understanding &quot;normal&quot; growth and development may seem like a relatively easy task at first. We take the nuances of developmental differences for granted because we&#39;re so accustomed to experiencing them. Nevertheless, defining normal (versus abnormal) development is a complex and controversial task. Development involves a tricky intermingling of environmental stimuli, cultural and social expectations, rapid and not always intuitive changes in brain development, temperamental differences, genetic inheritance, and mind-boggling brain plasticity. The course will start with a consideration of general themes and then move to a chronologic perspective. First, we approach child development as a dynamic force, one which simultaneously engages multiple domains: social/relational, cognitive, physical, moral. We will then switch to examine stages of development in sequence, using our understanding of neurobiological, physical, cultural, and psychological factors to inform our assessment of how children change over time. Readings will include classic papers on development, textbook chapters that provide overviews of specific developmental stages, recently published research articles on genetic inheritance, selected contemporary children&#39;s and young adult literature, personal memoirs, and short stories written about childhood.",56,FRSEMR 24U,1792
Health and Mental Health in Everyday Life,"Why do students feel ill before an exam? Why do women seem to suffer more than men from depression and eating disorders, whereas men use and abuse substances more than women? Why do some race/ethnic groups have better or worse health and mental health outcomes than others? These are some of the questions this course addresses. Using interdisciplinary perspectives we will investigate how such social and personal characteristics as gender, race/ethnicity, family background, and self-esteem impact health and mental health behaviors and outcomes. We will also examine how specific configurations of circumstances and contexts contribute to health and mental health problems. For instance, college students, regardless of gender, race/ethnicity, etc., are increasingly experiencing stress and turning to amphetamines at higher rates than young adults who are not in college. One goal in these classes will be to explore causes and consequences. Another will be to understand the role of individuals themselves, their personal and social support networks, and health care professionals in developing and guiding positive strategies for coping and healing. Throughout, we traverse the boundary between health and illness in order to understand the complex web of factors that create and jeopardize well-being. Students will present analyses of the readings in class and write short papers based on class readings and discussions, as well as additional research. Students will also give two brief presentations: a team project and a representation of health and/or mental health in the arts.",56,FRSEMR 48E,1885
Advanced Topics in Computer Architecture,"Seminar course exploring recent research in computer architecture. Topics vary from year to year and will include subjects such as multi-core architectures, energy-efficient computing, reliable computing, and the interactions of these issues with system software. Students read and present research papers, undertake a research project.",50,COMPSCI 247R,1265
Biochemistry of Protein Complexes,"A course on the properties of protein complexes that serve as supports, machines and motors. Topics include : hemoglobin, actin filaments, myosin function, microtubules, kinesin, metabolon, photosynthesis, rotary motors, nuclear pores and transport, proteasome. Lecture on Monday is followed by student presentations on Wednesday. The course involves reading two research papers per week, and writing a research proposal.",98,MCB 178,3560
The Japanese Woodblock Print,"This course provides an introduction to Japanese art and cultural history through a survey of the Japanese woodblock print from its emergence in the mid-17th century to the modern era. Technical developments, major genres, and master designers are explored within the context of Japan's pictorial traditions and evolving urban culture. Topics for consideration include aesthetic discourse, censorship, erotica, Japonisme, the construction of social identity, print culture, and the representation of war.",75,HAA 18P,2547
Economics and Computation,"The interplay between economic thinking and computational thinking as it relates to electronic commerce, social networks, collective intelligence and networked systems. Topics covered include: game theory, peer production, reputation and recommender systems, prediction markets, crowd sourcing, network influence and dynamics, auctions and mechanisms, privacy and security, matching and allocation problems, computational social choice and behavioral game theory. Emphasis will be given to core methodologies, with students engaged in theoretical, computational and empirical exercises.",50,COMPSCI 136,1247
"Politics of Aesthetics: Worlds, Objects, Matter, Sensation","Examines and compares the relation between politics and aesthetics in major texts by: Ranci&egrave;re, Balibar, Nancy, Latour, Harman, Badiou, Meillassoux, Jane Bennett, Tim Morton and others. Focuses on politics of aesthetics in critical texts of the last two decades that link a politics of aesthetics to the reassessment of world(s), objects, sensation, matter while looking for a new type of realism. Deleuze, Ranci&egrave;re, Nancy, Cixous, Latour, Stengers, Bennett, Graham, Badiou, Meillassoux, Morton will be paired with film, fiction, painting.",24,COMPLIT 274,626
"Music, Mind, and Brain","Survey of neuropsychology of music. Examines psychological and neural substrates of music perception and cognition (pitch and consonance, melody and harmony, timbre, rhythm and meter, Gestaltist grouping processes). Then considers affective psychology (emotion, meaning, pleasure), music therapy, music and language, and developmental, comparative, and evolutionary perspectives.",97,MBB 980E,3521
"Creativity Research: Madmen, Geniuses, and Harvard Students","Examines human creativity from three perspectives: a) empirical research sources, b) case studies of eminent creative achievers, and c) ourselves as creative subjects. Topics include the definition and measurement of creativity, the creative process, the neuroscience of creativity, the creative personality, the role of family life and culture in creativity, the relationship of creativity to IQ, gender differences, and the relationship of creativity to psychopathology.",97,MBB 980F,3528
The Environmental Turn in History: Seminar,"A critical exploration of history's ""environmental turn."" This course tracks the movement of environmental themes to the center of the discipline and the emergence of environmental history as an important new subfield. Readings will range from classics to cutting-edge new work.",72,HIST 2951,2516
"Crime, Journalism and Law","Examines the prominence of crime narratives in Anglo-American societies in various media formats since the advent of mass communication. Explores why crime has been consistently compelling to societies and citizens, and how these narratives have been harnessed to advance religious, political, governmental and ideological objectives. Critically analyzes the power of mass communication and the impact that crime events have on societies and their legal systems. Questions what responsibilities (if any) media organizations, individual journalists, media consumers, state officials and the legal system assume when producing, consuming and otherwise engaging highly publicized crime events.",137,SOCIOL 172,4678
Intermediate Italian: Romance! Mystery? Noir...,"Discover the ""colors"" or Italian pop lit, from romance to crime stories to graphic novels. This course aims to build reading skills, and includes a structured review of grammar. Course materials include multi-media projects that increase language proficiency and cultural awareness.",127,ITAL C,4419
Upper-Level Italian: Italian Through Art,"Revisiting structures and refining speaking and writing skills through an arts interface. Students work closely with the collection at the Harvard Art Museum for assignments that build on receptive and productive communicative skills. Course materials may include films, popular music, operatic libretti and literary texts. Consult course website for current semester topics.",127,ITAL 30,4420
Graphic Novels: Studio Course,"From the history to the mechanics, this course will explore the origins of graphic novels and how to apply this medium in literary and artistic ways. Classes will include presentations and lectures on important historical and current work as well as practical assignments. For students interested in acquiring an understanding of cartooning history as well as those interested in developing their own work for publication, this course will provide a strong foundation.",162,VES 19,5146
Proseminar on Inequality and Social Policy I,"Considers effects of varied political activities on creating or reducing inequality in U.S., and at effects of inequality on political activity and policy choices. Examines electoral participation, social movements, lawmaking, etc. on policies like education, ERA, welfare.",70,GOV 2340A,2281
Laboratory for the Systems Neuroscience of Psychopathology,"Research seminar examines the neurobiology of disinhibitory psychopathology (aggression, antisocial behavior, substance abuse). Students participate first-hand in personality/behavioral testing and brain imaging, and in weekly discussions of the genetics and cellular/systems/cognitive neuroscience of disinhibitory psychopathology.",124,PSY 2475R,4332
"The Innovator's Practice: Finding, Building and Leading Good Ideas with Others","Students gain experience overcoming many under-represented challenges of becoming an innovator, including: identifying your intrinsic motivations, finding related good ideas, working effectively with others to develop them, and leading innovative professional projects to implementation. Students apply human-centered design processes (observing, interpreting, ideating, testing, refining, planning) to stimulate innovation, negotiate, strategize, and build and lead cooperative teams. Features guest speakers from industry, academia, and involves collaborating with cutting-edge companies.",51,ENG-SCI 21,1321
Rome: Eternal City,"An architectural history of Rome from the empire through the early Christian and medieval city, the Renaissance revival of antiquity, Baroque planning, and early archeology to Fascism and modernism, including the imperial fora, aqueducts, fountains, medieval basilicas, the piazza, villas, gardens, St. Peter's and the Vatican complex.",75,HAA 161V,2572
Biologically-Inspired Materials,Overview of materials for biomedical devices and therapies. Polysaccharide- and protein-based polymers as building blocks. Biological templating of inorganic structures. Emerging frontiers in protein and DNA self-assembly. Molecular scale origin of materials properties for naturally occurring biological materials and the use of this information to rationally design new biomaterials for specific applications.,51,ENG-SCI 228,1366
The Civil War from Nat Turner to Birth of a Nation,"This interdisciplinary course reframes traditional understandings of the Civil War in three ways. First, by showing that civil conflict in the United States began well before 1861 and ended well after 1865, taking the form of slave uprisings and Klan terrorism, as well as conventional war. Second, by showing that the former Confederacy won this longer Civil War by establishing a new order of black unfreedom. And third, by placing this war in the context of international politics and trade. &quot;Readings&quot; range from fiction, film, letters, and speeches to poetry, pamphlets, prints and photographs, songs, and history.",64,US-WORLD 34,2081
Advanced Poetry: Workshop,"By guided reading, classroom discussion, one on one conference, and formal and structural experimentation, members of the Advanced Poetry Workshop will look to hone, deepen, and challenge the development of their poetic inquiry and aesthetic. Students will be required to write and submit one new poem each week and to perform in-depth, weekly critiques of their colleagues' work.",52,ENGLISH CHCR,1470
Advanced Fiction Writing: Workshop,"Writers will become familiar with more sophisticated aspects (technical and conceptual) of writing fiction, beginning with short exercises and moving toward the completion and revision of original work. Readings include Munro, Welty, Diaz, Lahiri, and others, and we will explore how practicing writers negotiate character, narrative structure, setting, voice, etc. Individual reading assignments are also devised on a per project basis. As the term continues, increasing amounts of time are devoted to the discussion of student work. Students in this course will be expected to revise work often and to a very high standard.",52,ENGLISH CTR,1477
Genetics and Genomics,"Fundamental concepts in genetics and genomics forming a critical foundation for biology approached from two perspectives: (1) as a body of knowledge pertaining to genetic transmission, function, mutation, and evolution in eukaryotes and prokaryotes; and (2) as an experimental approach providing a toolkit for the study of biological processes such as development and behavior. Topics include structure, function, transmission, linkage, mutation, and manipulation of genes; genetic approaches in experimental studies of biological processes; and analysis of genomes in individuals and populations. Related ethical issues also discussed include genetically modified organisms, gene therapy, genetic testing, personalized medicine, and genetic privacy.",121,OEB 50,3925
Old English: Beowulf and its Contexts,"We will translate some of the most fascinating sections of Beowulf&mdash;from monster-slaying and heroic feats to pagan burials and betrayals&mdash;in order to learn what makes it an exceptional poem. We will also combine language study with literary criticism to consider different aspects of Beowulf each week: the artistry of poetic language, the use of Germanic legend, or the sophistication of the meter, for example.",52,ENGLISH 103G,13454
Writing Scientific Papers,"You've designed your experiment, made your measurements, and analyzed your data. Now what? How do you write a paper that will not only get accepted, but also get cited? This is a hands-on workshop course targeted at graduate students who are ready to write up their first research paper for submission to a peer-reviewed scientific journal. The class will emphasize the idea that your paper should tell a (nonfiction!) story that engages the reader. By the end of the semester you will have a coherent, well-structured, and polished manuscript.",121,OEB 210,3972
Geobiology and the History of Life,"Within our solar system, Earth is distinguished as the planet with life. Life was born of planetary processes, has been sustained for some four billion years by planetary processes, and through time has emerged as a set of planetary processes that is important in its own right. In this course we will investigate the ways that Earth and life interact, focusing in particular on the biogeochemical cycles of major elements. This will provide a framework for interpreting the history of life reconstructed from fossils and phylogeny.",121,OEB 56,3931
"Neuro-Immunology in Development, Regeneration and Disease","It is increasingly clear that the nervous system and immune system share parallel molecular pathways, and communication between neurons and immune cells play significant roles in homeostasis and disease. This course will investigate current topics in neuro-immunology: CNS development, chronic pain, neuro-degeneration, aging, axon regeneration, auto-immunity and infection. We will focus our discussions on molecular mechanisms shared by the immune and nervous systems and the molecular cross-talk between these two systems.",88,IMMUN 305QC,3369
Cancer Immunology,"There have been many exciting recent developments in the cancer immunology field, and multiple therapeutic approaches have shown efficacy against diverse types of cancer. This course will emphasize new mechanistic insights, in particular on the following topics: Mechanisms of spontaneous protective anti-tumor immunity; Key effector cell populations of anti-tumor immunity; Inflammation and tumor microenvironment; Immunosuppressive mechanisms in tumor immunity; Targeting of inhibitory receptors; Cancer vaccines; New approaches for delivery of immunotherapies into tumors.",88,IMMUN 307QC,11026
Fighting Poverty in China: Welfare and Disaster Relief in Comparative Perspective,"This course is a research seminar on the political economy of poverty and inequality in China. Because China has tried such a wide variety of methods to combat poverty, it provides a useful ""laboratory"" for analyzing different anti-poverty policies. After an introduction to theories of the welfare state and international humanitarian relief, students will examine disaster relief and the welfare state in China, with comparisons to Europe, North America, and other developing countries.",33,EASTD 195,13424
Migrations: Narrative Setting,"This course is designed for the ""Literary Migrations"" portion of the Common Ground curriculum. Although plot, character, and theme are the elements of narrative fiction that typically receive the most attention from readers, this course invites students to examine setting. It is likely to feature works by Defoe, Flaubert, Dickens, Melville, Poe, Fitzgerald, Faulkner, Cather, and Pynchon. In addition, some relevant secondary material will be assigned, such as portions of Watt's Rise of the Novel, Auerbach's Mimesis, and recent works of environmental criticism.",52,ENGLISH 66,10739
Neuroethology,"The evolutionary success of animals depends on how effectively they respond to external events with useful behaviors. Neuroethology is the study of the neurobiological mechanisms underlying adaptive behaviors. In this laboratory class we will examine the adaptive behaviors of three organisms: fruit flies, flatworms and cockroaches. By following published experimental protocols, and testing novel student-developed hypotheses, we will explore the transformation of external stimuli to behavioral output, the role of neurotransmitter systems and neuromodulatory states, the effect of genetic mutation and genomic background, and the physiology of locomotion. In culmination, students will develop their own multi-week experimental project.",121,OEB 131,11071
The Rhetoric of Frederick Douglass and Abraham Lincoln: Seminar,"A critical examination of Douglass' and Lincoln's speeches and other exemplary writings from Lincoln's 1838 Lyceum Address to Douglass's 1894 ""Lessons of the Hour."" We explore Douglass' and Lincoln's respective rhetorical practices in relation to their politics.",52,ENGLISH 90FD,10745
Modern and Contemporary Poets: Graduate Seminar,"Major poets and poems from T.S. Eliot and Robert Frost almost to the present day: we may also read, among others, William Carlos Williams, Wallace Stevens, Elizabeth Bishop, Robert Lowell, Lorine Niedecker, Gwendolyn Brooks, James Merrill and John Ashbery. Appropriate both for students who know some of these poets well, and for those relatively new to the study of poems.",52,ENGLISH 279,10781
"American Plays and Musicals, 1940-1960","A lecture on Golden Age Broadway musicals within their theatrical context. Readings pair plays with musicals on a similar theme, including Death of a Salesman and The Music Man, Mister Roberts and South Pacific, and The Miracle Worker and My Fair Lady.",52,ENGLISH 144A,10751
Advanced Russian for Academic and Professional Communication,"Emphasis on close reading and stylistic analysis of the Russian language with continued development of grammatical, sociolinguistic, strategic, and discourse competencies at an advanced level. Emphasis on reading with considerable practice in speaking, presenting, and writing for professional and academic purposes.",483,RUSS 115,11141
"Conrad, Naipaul, Coetzee: Genealogies of the Global Imagination: Graduate Seminar","The novels of Conrad, Naipaul, and Coetzee have a particular value to contemporary discourses on global culture. For these writers, the experience of Empire was as much an ethical and aesthetic project as it was an economic or political venture. Our study will focus on their reflections on the problematic project of joining diverse cultures and distant territories in a global network and on the role of figurative language and fictional forms in imagining community and communication on a global scale.",52,ENGLISH 287,11300
Fiction Writing,A seminar/workshop. Readings to be announced.,52,ENGLISH CVR,13445
East Asian Language Tutorials,Independent reading and research in an East Asian language.,33,EASTD 90R,10629
Modern Monsters in Literature and Film,"A class on the aesthetics and cultural politics of the Gothic tradition, from Frankenstein to Freaks. How has this tradition's fascination with those who come back from the dead mediated social anxieties about the generation of life or the lifelike? We'll consider vampire and other monster fictions by such authors as John Polidori, Mary Shelley, Sheridan Le Fanu, Bram Stoker, Mary Elizabeth Braddon, Robert Louis Stevenson, and Gaston Leroux. We'll conclude the semester with an investigation of early horror cinema, exploring how the modern medium of cinema gave Gothic preoccupations with the animation of the dead a new lease on life.",52,ENGLISH 148,12308
The Poetry of Emily Dickinson: Graduate Seminar,"The poetry of Emily Dickinson, with some attention to the letters. Ways of grouping the poems into sub-groups for purposes of examination. Dickinson from sublime to sardonic, from intellectual to faux-naive ""girl.""",52,ENGLISH 258,12315
Contemporary Novel: Graduate Seminar,"An introduction to the contemporary Anglophone novel, with particular attention to recent scholarship on the national and the transnational, the institutions of the novel, the rise of genre literature, and the time span of the contemporary.",52,ENGLISH 298C,12318
Divine Comedies: Graduate Seminar,"A study of four poetic and/or visionary works written 1300-1400: Dante Alighieri's Divine Comedy, John of Morigny's Book of Flowers, Julian of Norwich's Revelation of Love, and William Langland's Piers Plowman. We consider the inter-relationship between the poetic and the visionary in light of the categories of ""orthodoxy"" and ""discretion of spirits"" during a period when both were fiercely contested.",52,ENGLISH 231,12312
Contemporary American Playwrights: Seminar,"This course surveys work by some of the most popular dramatists of the past decade, with particular attention to language, theatricality, and history. Writers may include Annie Baker, Amy Herzog, Jackie Sibblies Drury, Sarah Ruhl, Quiara Alegrּ_וÛו¬ּּ_והו־_a Hudes, Lynn Nottage, and Will Eno.",52,ENGLISH 90CP,12299
Migrations: American Literature to 1865,"This course surveys American literature from the colonial period to the Civil War. We will read accounts of early contact, narratives of captivity and slavery, sermons, autobiographies, poems, and novels. Authors will include Winthrop, Rowlandson, Franklin, Douglass, Hawthorne, Melville, Stowe, Thoreau, Whitman, and Dickinson.",52,ENGLISH 69,12296
The Poetry of Seamus Heaney: Seminar,"With Heaney's death, the canon of his poetry has closed. Using Opened Ground and selections from the later poetry, we will investigate the ways into Heaney's verse, from the political to the autobiographical to the symbolic.",52,ENGLISH 90SH,12302
Migrations: American Horrors,"This course will examine the uncanny, the abject, and the ghostly as they appear in American literature, and consider their formal implications as well as their relationship to the major cultural and social issues of the time. Authors may include Louise Erdrich, William Faulkner, Charlotte Perkins Gilman, Washington Irving, Henry James, Maxine Hong Kingston, Herman Melville, Toni Morrison, Bharati Mukherjee, Flannery O'Connor, and Edgar Allan Poe.",52,ENGLISH 60A,12294
Decision Making and the Psychology of Possibility,"Topics in decision making such as rationality, risk-taking, helplessness, and health are examined through the lens of mindfulness theory. Special emphasis given to the psychology of possibility in applied settings.",124,PSY 2670A,4347
Evolution of Plant Life in Geologic Time,"Origin, evolution, dispersal, paleoecology, and geologic history of the major groups of the plant kingdom. Laboratory study of representative groups, living and fossil.",121,OEB 107,3940
Advanced Topics in Plant Physiology,"A critical discussion of current research in plant physiology including measurement techniques, modeling, and experimental approaches. In 2016, the focus will be on stomata -- structure, function, biomechanics, signal transduction and environmental responses. We will consider stomata in bryophytes through angiosperms, and also look at models of stomatal regulation of transpiration and CO2 uptake.",121,OEB 212R,3973
Introduction to the Mechanics of Solids,"A first course in the mechanical sciences which introduces elements of continuum mechanics and explains how materials and structures stretch, bend, twist, shake, buckle, and break. Stress-strain behavior of materials. Statically determinate and indeterminate structures. Stress and strain, equations of motion or equilibrium, strain-displacement relations. Torsion. Beam theory with applications to beam deflections, vibrations, and buckling. Three laboratory sessions required.",51,ENG-SCI 120,1331
Analysis of Longitudinal Data: Seminar,"This course takes an applied approach to the analysis of longitudinal data. Lectures will provide an overview of a variety of techniques, including fixed effects models, multilevel models, and duration models. Students will develop their own empirical projects and receive support as they begin to work with longitudinal datasets.",137,SOCIOL 211,4690
Research Methods in Late Imperial Chinese History I: Seminar,"Training in the use of a wide array of sources, methods, and reference tools for research in the history of late imperial China, focusing upon the reading and analysis of different types of Qing-era documents, official and unofficial. Students will write a research paper using documents provided in class. Reading knowledge of modern and literary Chinese required.",29,CHNSHIS 270A,793
Animal Behavior,"A review of the behavior of animals under natural conditions, with emphasis on both mechanistic and evolutionary approaches. Topics include classical ethology; behavioral endocrinology; behavioral genetics; learning and memory; communication; orientation, migration and biological rhythms; optimal foraging; evolutionary stable strategies; sexual selection; parental investment and mating systems; selfishness, altruism, and reciprocity; and sociality in vertebrates and invertebrates.",121,OEB 57,3932
Compilers,"Implementation of efficient interpreters and compilers for programming languages. Associated algorithms and pragmatic issues. Emphasizes practical applications including those outside of programming languages proper. Also shows relationships to programming-language theory and design. Participants build a working compiler including lexical analysis, parsing, type checking, code generation, and register allocation. Exposure to run-time issues and optimization.",50,COMPSCI 153,1238
Solid Mechanics,"Foundations of continuum mechanics, development of elasticity theory, and introduction to plasticity and creep. Elastic waves. Basic elasticity solutions. Variational principles.",51,ENG-SCI 240,1373
Biology of Plants,"Introduction to the structure, diversity, and physiology of plants with an emphasis on evolutionary relationships and adaptations to life on land. Topics include growth, resource acquisition, interactions with other organisms (i.e., fungi, bacteria, insects), reproduction, and survival in extreme environments. Laboratory sessions provide an overview of plant and diversity and an introduction to basic physiological processes.",121,OEB 52,3927
Coalescent Theory,"The mathematics and computation of ancestral inference in population genetics. Theory relates observable genetic data to factors of evolution such as mutation, genetic drift, migration, natural selection, and population structure.",121,OEB 252,3985
Evolutionary Genetics Seminar,Readings and discussion of primary literature in population and evolutionary genetics.,121,OEB 253R,3986
Statistical Inference for Scientists and Engineers,"Introductory statistical methods for students in the applied sciences and engineering. Random variables and probability distributions; the concept of random sampling, including random samples, statistics, and sampling distributions; the Central Limit Theorem and its role in statistical inference; parameter estimation, including point estimation and maximum likelihood methods; confidence intervals; hypothesis testing; simple linear regression; and multiple linear regression. Introduction to more advanced techniques as time permits.",47,APMTH 101,1116
Molecular Evolution of Primates,"Molecular biology, DNA sequencing, and genomics have transformed our knowledge of evolution at the molecular level.&nbsp; This course explores how genetic data inform us about adaptations of humans and other primates.&nbsp; We will explore how natural selection molds primate genomes over time.&nbsp; Topics include the neutral theory of molecular evolution, the molecular clock concept and its applications, evolution of multigene families, relationships between phenotypic and molecular evolution, the evolution of primate color vision genes, and human disease variants in an evolutionary context.This year features a new small-group format with emphasis on active student participation and skill development including how to think critically about data.&nbsp; Students will have the opportunity to learn how to write a research paper including how to effectively research the scientific literature, develop an outline, avoid inadvertent plagiarism, and present the body of a developing research paper to peers in order to get useful feedback in time to modify their final papers.",78,HEB 1463,2742
"Ecology: Populations, Communities, and Ecosystems","This course examines the relationships of organisms to their environment at the individual, population, and community level. The course covers topics in both pure and applied ecology including: adaptations to the physical environment, population dynamics, competition, predator-prey interactions, community ecology, ecosystem structure, stability, and function, the ecology of infectious diseases, and natural resource management.",121,OEB 55,3930
Literary Theory in Comparison - An Introduction,"This course explores the relationship between theory and practice in literary terms. What is &quot;theory,&quot; and why should it concern itself with literature? We&rsquo;ll be positing that for literature, reading and writing are co-extensive: literary theory is part and parcel of the field it seeks to analyze; literature is continuously seeking to elaborate its own theory. During the semester, we will be reading literary theory as a literary genre and literary texts as reflections on theory. We will shed light on these questions through a range of literary and critical texts, which we will bring into comparison. We will consider three pairings: first, Virginia Woolf&#39;s novel Orlando (1928) with her essay A Room of One&#39;s Own (1929); then, Honor&eacute; de Balzac&#39;s short story Sarrasine (1830) with its extensive commentary by Roland Barthes in S/Z (1970); finally, Jose Luis Borges&#39;s anthology of short-story Fictions (1944) with Michel Foucault&#39;s The Order of Things (1966).By engaging with these six seminal works, the course offers a focused yet comprehensive overview of some of the issues debated by literary theorists: authorship, style, gender, class, interpretation, semiotics, inter-textuality, plurality, books, libraries, knowledge and language. The students will learn how any given reading of a literary work can in fact be read as a &quot;theoretical&quot; piece; and how, in turn, theoretical criticism might be fruitfully analyzed as a work belonging to literary writing.&nbsp;",24,COMPLIT 110,13542
The Auxiliary Disciplines of Medieval History: Proseminar,"Familiarizes scholars in all areas of medieval studies with the research tools and techniques for advanced study of late antique and medieval evidence: Latin palaeography, codicology, hagiography, late Latin philology, late antique studies, numismatics, diplomatic.",95,MEDVLSTD 201,3513
Fieldwork and Ethnography in Folklore,"Introduces concentrators to the study of traditions - their performance, collection, representation and interpretation. Both ethnographic and theoretical readings serve as the material for class discussion and the foundation for experimental fieldwork projects.",55,FOLKMYTH 97,1755
Introductory Latin Prose Composition,"Practice in the translation of sentences and connected prose passages from English into Latin, with review of Latin syntax.",156,LATIN H,5002
Applied Algebra,"Introduction to abstract algebra and its applications. Sets, subsets, and partitions; mappings, operations, and equivalence relations; groups, rings, and fields, polynomials, encryption, computer coding, application of modular arithmetic, combinatorial designs, lattices, application of trellis representation of lattices, fast algorithms.",47,APMTH 106,1119
Engineering Thermodynamics,"Introduction to classical engineering thermodynamics. Topics: Zeroth Law and temperature. Properties of single-component gases, liquids, and solids. Equations of state for ideal and simple nonideal substances. First Law, heat and heat transfer, work, internal energy, enthalpy. Second Law, Third Law, entropy, free energy, exergy. Heat engines and important engineering applications such as refrigerators, power cycles. Properties and simple models of solutions. Phase and chemical equilibrium in multicomponent systems; chemical potential. Electrochemistry, batteries, fuel cells. Laboratory included.",51,ENG-SCI 181,1348
"Dragons, Knights, Popes, and Whores - Medieval German for Absolute Beginners","\tDiving into &quot;The Real Game of Thrones&quot;, students will find out about medieval tales and history by the study of medieval German texts. We work closely with a range of primary sources (poetical, religious, scientific, historiographical, etc.), translating and analyzing them as well as discussing their cultural context. This course brings together historical linguistics, grammar, manuscript studies, literature, and culture and serves as a fundamental grounding for further readings in Middle High German. A workshop with medieval manuscripts at the Houghton Library is part of the course. This is a pre-requisite course for the Philosophical Mysticism class offered by the same professor in Spring Term 2016.&nbsp;",65,GERMAN 200,13409
Inverse Problems in Science and Engineering,"Many problems in science and engineering are inverse problems. For example, an experimental result that requires an explanation can be couched thus -&nbsp; given the data, what is the theory/model that provides it - this is an inverse problem. In engineering, a given function (in a product/software &hellip;. ) requires a design - again an inverse problem. In this course, we will first spend some time on characterizing common features of inverse problems from science and engineering - from oil prospecting&nbsp; and seismology to cognitive science, from particle physics to engineering design, then introduce deterministic and probabilistic methods for their solution, and finally deploy them computationally on real questions drawn from the&nbsp; sciences and engineering.&nbsp;&nbsp;&nbsp;&nbsp;",47,APMTH 216,13466
Research in Comparative Biomechanics: Seminar,"Introduces students to experimental techniques used to investigate the structure and physiology of animals. Each instructor offers research projects that are undertaken in their laboratory (limit 5 students per instructor). Students meet to introduce their project, discuss their work and progress, and to present their final results. An extensive commitment of time in the laboratory is required. Grades are based on the work completed, the oral presentation, and a short research paper.",121,OEB 121A,3947
Hydrology and Environmental Geomechanics,"Study of water as a critical resource and as a factor in Earth surface and near-surface processes. Focus on development of relevant mechanics and physics. Hydrologic cycle, surface and groundwater, evapotranspiration, soil physics. Flow in porous media, Darcy law, contaminant transport, remediation strategies. Poroelasticity, subsidence, well hydraulics. Seepage forces, landslides, dam failures, sediment liquefaction. Glacial processes. Stream flows, turbulence concepts. Gravity waves, flood control; tsunamis; erosion and sediment transport.",51,ENG-SCI 162,1342
Biology of the Cancer Cell,"This semester long course takes a molecular approach to examine the basis of human cancer. The main concepts that we will cover include: Cancer genetics and epigenetics, tumor suppressor genes and oncogenes, signal transduction, DNA damage and repair, angiogenesis, metastasis and invasion, apoptosis, cancer stem cells, and tumor immunology and immunotherapy. Lectures will be delivered by experts in the various fields to provide an integrated perspective on past, current, and future approaches in cancer biology research. In addition, students will participate in workshops in which they will delve more deeply into the primary literature of several of these topics.",84,CELLBIO 212,3013
Readings in Social and Legal Texts,"Introduces students to the various genres, styles, and linguisitic registers of archival primary sources that deal with the social, economic and legal history of the early modern Arab world.",102,ARABIC 248R,13171
Practicum in Linguistics,Presentation of reports on current research or assigned topics.,80,LING 241R,2822
